"","date","day","run","fragment_ID","genus","family","jar","salinity","net_photo_ug_h","respiration_ug_h","gross_photo_ug_h","O2_start_L","O2_end_L","O2_start_D","O2_end_D","sum_surface_cm2","sum_volume_cm3","net_photo_h_surface","respiration_h_surface","gross_photo_h_surface","category","species"
"81",2019-07-24,"3","3","PruA4","Porites","Poritidae",9,"34.4",168.5098,130.0063,298.5161,6.99,7.17,7.09,6.92,16.0989,4438.52,10.4671623527073,8.07547720651722,18.5426395592245,"single","Pru"
"82",2019-08-03,"10","1","PveF3","Pocillopora","Pocilloporidae",1,"35.6",772.9097,996.2206,1769.1303,7.02,7.43,7.63,7.07,31.1532,7342.34,24.809961737478,31.9781146078091,56.7880763452872,"single","Pve"
"83",2019-08-03,"10","1","PveA2","Pocillopora","Pocilloporidae",2,"35.6",734.7142,785.8223,1520.5365,7,7.43,7.58,7.11,24.76,5715.49,29.6734329563813,31.7375726978998,61.4110056542811,"single","Pve"
"84",2019-08-03,"10","1","PveB3","Pocillopora","Pocilloporidae",3,"35.6",771.0909,785.8223,1556.9132,7.01,7.46,7.51,7.04,29.7634,8293.31,25.9073526546026,26.4023028283059,52.3096554829085,"single","Pve"
"85",2019-08-03,"10","1","AmuD2","Acropora","Acroporidae",4,"35.6",464.5635,331.1537,795.7172,7.01,7.3,7.22,7,13.5322,1804.99,34.3302271618806,24.4715345620077,58.8017617238882,"single","Amu"
"86",2019-08-03,"10","1","AmuB2","Acropora","Acroporidae",5,"35.6",261.297,227.6681,488.9651,6.99,7.17,7.13,6.96,13.9673,1609.52,18.7077674282073,16.3000794713366,35.0078468995439,"single","Amu"
"87",2019-08-03,"10","1","AmuA2","Acropora","Acroporidae",6,"35.6",295.5951,240.2342,535.8293,6.99,7.19,7.13,6.96,20.8248,2802.66,14.1943788175637,11.5359667319734,25.7303455495371,"single","Amu"
"88",2019-08-03,"10","1","PloB2","Porites","Poritidae",7,"35.6",269.3952,269.0623,538.4575,6.98,7.17,7.12,6.93,12.8531,6589.43,20.9595506142487,20.9336502478001,41.8932008620488,"single","Plo"
"89",2019-08-03,"10","1","PloC2","Porites","Poritidae",8,"35.6",336.0859,227.6681,563.754,6.97,7.2,7.07,6.9,18.4362,8940.17,18.2296731430555,12.3489710460941,30.5786441891496,"single","Plo"
"90",2019-08-03,"10","1","PloD2","Porites","Poritidae",9,"35.6",277.0556,165.5768,442.6324,6.97,7.17,7.03,6.89,13.4769,5949.39,20.5578137405486,12.2859708093107,32.8437845498594,"single","Plo"
"91",2019-08-03,"10","2","PveF4","Pocillopora","Pocilloporidae",1,"35.6",917.473,1085.5519,2003.0249,7.02,7.47,7.68,7.06,34.4289,9306.9,26.6483390407477,31.5302522009126,58.1785912416603,"single","Pve"
"92",2019-08-03,"10","2","PveA4","Pocillopora","Pocilloporidae",2,"35.6",842.446,900.6578,1743.1038,7.06,7.5,7.6,7.09,31.2468,7632.38,26.9610328097597,28.8240011777206,55.7850339874803,"single","Pve"
"93",2019-08-03,"10","2","PveB4","Pocillopora","Pocilloporidae",3,"35.6",654.8785,962.7491,1617.6276,7.11,7.45,7.59,7.05,29.7212,7337.84,22.03405313379,32.3926725704211,54.4267257042111,"single","Pve"
"94",2019-08-03,"10","2","AmuA3","Acropora","Acroporidae",6,"35.6",417.293,385.2999,802.5929,7.09,7.31,7.19,6.92,26.7264,3689.56,15.613513230364,14.4164533943966,30.0299666247605,"single","Amu"
"95",2019-08-03,"10","2","PloB3","Porites","Poritidae",7,"35.6",271.7861,265.2567,537.0428,7.09,7.23,7.13,6.92,16.2556,8125.29,16.7195366519845,16.3178658431556,33.0374024951401,"single","Plo"
"96",2019-08-03,"10","2","PloC3","Porites","Poritidae",8,"35.6",193.6831,185.2279,378.911,7.08,7.18,7.08,6.91,13.2414,6696.01,14.6270862597611,13.9885435074841,28.6156297672452,"single","Plo"
