"","Filename","jar","run","day","S","TA_mmolL","fragment_ID"
"272","Alkalinity_preT7_5_12_08_19_09_43_15","2","1","17",35.5,2.61304826252907,"SpiB3"
"273","Alkalinity_preT7_5_12_08_19_09_51_35","3","1","17",35.5,2.6068032282076,"SpiD4"
"274","Alkalinity_preT7_5_12_08_19_09_57_55","4","1","17",35.5,2.62229557583207,"MdiC4"
"275","Alkalinity_preT7_5_12_08_19_10_07_26","5","1","17",35.5,2.62124038431482,"MdiA4"
"276","Alkalinity_preT7_5_12_08_19_10_16_00","6","1","17",35.5,2.61530489097881,"MdiD4"
"277","Alkalinity_preT7_5_12_08_19_10_22_36","7","1","17",35.5,2.62538091136933,"PruD4"
"278","Alkalinity_preT7_5_12_08_19_10_29_05","8","1","17",35.5,2.62585550206653,"PruE4"
"279","Alkalinity_preT7_5_12_08_19_10_35_41","9","1","17",35.5,2.62937843428715,"PruA4"
"280","Alkalinity_preT7_5_12_08_19_10_45_38","10","1","17",35.5,2.6400084516696,"control"
"281","Alkalinity_preT7_5_12_08_19_11_12_37","1","2","17",35.5,2.58667227644489,"SpiA1"
"282","Alkalinity_preT7_5_12_08_19_11_19_09","2","2","17",35.5,2.57009618108179,"SpiB1"
"283","Alkalinity_preT7_5_12_08_19_11_26_04","3","2","17",35.5,2.59171862875016,"SpiD1"
"284","Alkalinity_preT7_5_12_08_19_11_33_19","4","2","17",35.5,2.60218825901684,"MdiC1"
"285","Alkalinity_preT7_5_12_08_19_11_40_08","5","2","17",35.5,2.59249305127775,"MdiA1"
"286","Alkalinity_preT7_5_12_08_19_11_46_54","6","2","17",35.5,2.60703741114009,"MdiD1"
